excavation_unit,shellID,18Ovalue,season
124,ŽU_2_124_B1,-1.22,Summer
124,ŽU_2_124_D1,1.92,Winter
124,ŽU_2_124_E2,1.6,Winter
124,ŽU_2_124_H1,1.56,Winter
124,ŽU_2_124_H2,0.1,Summer
122,ŽU_2_124_J1,0.53,Summer
122,ŽU_2_122_D1,2.52,Winter
122,ŽU_2_122_D2,-0.53,Summer
122,ŽU_2_122_F1,2.04,Winter
122,ŽU_2_122_H1,1.87,Winter
121,ŽU_2_121_D1,2.46,Winter
121,ŽU_2_121_E2,2.46,Winter
121,ŽU_2_121_G1,-0.16,Summer
121,ŽU_2_121_G2,1.88,Winter
121,ŽU_2_121_H1,-0.4,Summer
121,ŽU_2_121_I1,1.97,Winter
119,ŽU_2_119_A1,2.6,Winter
119,ŽU_2_119_A2,0.81,Summer
119,ŽU_2_119_B1,2.01,Winter
119,ŽU_2_119_B2,0.18,Summer
119,ŽU_2_119_C1,-0.29,Summer
119,ŽU_2_119_D1,2.19,Winter
119,ŽU_2_119_E1,2.02,Winter
119,ŽU_2_119_E2,1.16,Summer
119,ŽU_2_119_I1,0.34,Summer
119,ŽU_2_119_I2,2.09,Winter
116,ŽU_2_116_B1,-0.32,Summer
116,ŽU_2_116_C1,1.69,Winter
116,ŽU_2_116_C2,0.36,Summer
116,ŽU_2_116_E1,-0.57,Summer
116,ŽU_2_116_F1,2.11,Winter
116,ŽU_2_116_G1,-0.15,Summer
116,ŽU_2_116_G2,1.69,Winter
116,ŽU_2_116_J1,1.76,Winter
116,ŽU_2_116_J2,0.22,Summer
115,ŽU_1_115_A1,1.44,Winter
115,ŽU_1_115_B1,-0.59,Summer
115,ŽU_1_115_C1,1.48,Winter
113.5,ŽU_1_113.5_A1,-0.39,Summer
113.5,ŽU_1_113.5_A2,1.89,Winter
113.5,ŽU_1_113.5_B1,1.82,Winter
113.5,ŽU_1_113.5_C1,-0.3,Summer
113.5,ŽU_1_113.5_H1,0.32,Summer
113.5,ŽU_1_113.5_H2,2.21,Winter
113.5,ŽU_1_113.5_J1,-0.29,Summer
114,ŽU_1_114_B1,-0.02,Summer
114,ŽU_1_114_D1,-0.16,Summer
118,ŽU_2_118_C1,1.74,Winter
118,ŽU_2_118_C2,2.5,Winter
118,ŽU_2_118_E1,2.12,Winter
118,ŽU_2_118_F1,-0.53,Summer
118,ŽU_2_118_G1,2.22,Winter
118,ŽU_2_118_I1,-0.89,Summer
118,ŽU_2_118_I2,-0.81,Summer
118,ŽU_2_118_J1,2.37,Winter
113,ŽU_2_113_A1,-0.1,Summer
113,ŽU_2_113_B1,-0.51,Summer
113,ŽU_2_113_E1,-0.08,Summer
113,ŽU_2_113_K1,0.23,Summer
113,ŽU_2_113_L3,2.1,Winter
113,ŽU_2_113_M1,2.21,Winter
113,ŽU_2_113_M2,1.79,Winter
113,ŽU_2_113_N1,1.3,Winter
113,ŽU_2_113_N2,2.34,Winter
113,ŽU_2_113_O2,-0.36,Summer
113,ŽU_2_113_P1,2.49,Winter
113,ŽU_2_113_Q1,2.31,Winter
113,ŽU_2_113_Q2,2.25,Winter
113,ŽU_2_113_R1,2.29,Winter
113,ŽU_2_113_R2,-0.42,Summer
108,ŽU_2_108_A1,-0.59,Summer
108,ŽU_2_108_E1,0.4,Summer
112,ŽU_1_112_B1,1.65,Winter
112,ŽU_1_112_D1,-0.73,Summer
112,ŽU_1_112_E1,2.62,Winter
112,ŽU_1_112_E2,-0.2,Summer
112,ŽU_1_112_F1,1.94,Winter
112,ŽU_1_112_H1,0.04,Summer
