excavation_unit,Sheep_goat,Capreolus,Cervus,Canis,Sus,Bos,Vulpes,Felis,Martes,Meles,Lepus,Erinaceus,Fish,Mollusca,Crustacea,Echinoidea,Helicidae
124,1,10,0,0,0,0,5,0,2,0,1,0,0,548,5,13,5
122,0,21,3,0,0,0,2,0,1,0,1,0,0,1421,12,146,9
121,0,16,0,0,0,0,3,0,0,1,0,0,0,1786,1,59,42
119,0,15,0,0,2,0,7,1,0,0,0,0,0,684,3,2,8
116,0,1,1,0,0,0,0,1,1,0,0,0,0,913,0,0,12
115,3,19,6,0,2,1,7,2,3,0,0,0,0,692,0,2,83
113.5,4,103,4,0,5,0,29,4,13,1,0,0,0,4398,2,4,26
114,1,6,0,0,0,0,10,1,2,0,0,0,0,383,0,1,28
118,1,1,0,0,0,0,0,0,0,0,0,0,0,79,0,1,0
113,27,224,18,0,12,2,86,19,40,1,1,0,0,11648,5,35,144
108,2,0,0,0,0,0,0,0,0,0,0,0,1,144,0,2,0
112,30,96,4,0,2,0,47,0,5,0,1,0,51,6163,3,6,45
25,5,38,1,0,4,0,9,0,2,0,0,0,0,3645,0,43,11
111,30,11,0,0,1,0,21,0,2,0,0,0,13,1868,1,2,4
24,3,12,0,0,0,0,1,0,0,0,0,0,0,3359,0,17,1
23,7,0,0,0,0,0,2,0,0,0,0,0,0,949,0,11,2
110,16,9,0,0,0,0,6,0,0,0,0,0,6,1825,3,7,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,1774,2,14,3
109,7,1,0,0,0,0,4,0,1,0,0,0,8,48,0,17,0
107,26,1,1,0,1,0,2,0,1,0,0,1,3,2104,5,58,11
20,9,1,0,0,0,0,1,0,1,0,0,0,0,568,0,24,1
19,6,0,0,0,0,0,0,0,0,0,0,0,0,558,0,8,2
106,88,2,0,1,1,1,0,0,0,0,0,0,6,1073,2,4,2
17,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,2
105,51,1,0,0,0,5,0,0,0,0,0,0,2,343,0,0,2
16,7,0,0,0,0,2,0,0,0,0,0,0,0,321,2,1,0
